City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iwye,53.9299,25.7727,278.26,94,100,3.77,BY,1698450301
1,saipan,15.1355,145.701,302.54,84,40,3.6,MP,1698450301
2,holualoa,19.6228,-155.9522,300.25,75,40,5.66,US,1698450301
3,sidareja,-7.4846,108.7923,300.03,73,46,0.02,ID,1698450302
4,adamstown,-25.066,-130.1015,296.29,77,36,3.09,PN,1698450302
5,kingston,17.997,-76.7936,301.04,97,75,5.14,JM,1698450169
6,zeerust,-25.5369,26.0751,295.26,41,69,3.23,ZA,1698450303
7,iqaluit,63.7506,-68.5145,270.0,68,75,4.12,CA,1698450304
8,keflavik,64.0049,-22.5624,278.1,81,0,3.6,IS,1698450304
9,tabou,4.423,-7.3528,298.62,88,5,2.78,CI,1698450305
10,st. john's,47.5649,-52.7093,279.2,85,75,2.57,CA,1698450115
11,vilyuchinsk,52.9306,158.4028,277.0,71,96,0.15,RU,1698450305
12,lucas,41.6501,-83.6666,296.23,70,75,4.12,US,1698450306
13,calama,-22.4667,-68.9333,290.42,17,0,7.2,CL,1698450306
14,grytviken,-54.2811,-36.5092,271.62,85,13,4.47,GS,1698450306
15,ushuaia,-54.8,-68.3,277.96,75,75,12.86,AR,1698450307
16,west island,-12.1568,96.8225,299.14,78,75,10.29,CC,1698450307
17,longyearbyen,78.2186,15.6401,270.06,80,75,2.57,SJ,1698450307
18,gadzhiyevo,69.2551,33.3362,269.69,91,100,4.05,RU,1698450308
19,tazacorte,28.629,-17.9293,294.69,84,0,2.06,ES,1698450308
20,olinda,-8.0089,-34.8553,301.0,74,40,4.12,BR,1698450257
21,kota bharu,6.1333,102.2386,297.12,94,20,1.03,MY,1698450309
22,i-n-salah,27.1935,2.4607,299.81,17,0,1.79,DZ,1698450309
23,isafjordur,66.0755,-23.124,275.96,84,80,2.15,IS,1698450309
24,port-aux-francais,-49.35,70.2167,276.36,84,12,7.99,TF,1698450309
25,waitangi,-43.9535,-176.5597,284.16,70,60,4.92,NZ,1698450310
26,al artawiyah,26.5053,45.3444,294.14,54,0,3.39,SA,1698450310
27,port lincoln,-34.7333,135.8667,292.15,55,58,4.59,AU,1698450310
28,ust-nera,64.5667,143.2,259.11,97,98,1.26,RU,1698450311
29,hamilton,39.1834,-84.5333,294.84,85,75,5.66,US,1698450274
30,albany,42.6001,-73.9662,292.85,75,61,1.71,US,1698450182
31,puerto natales,-51.7236,-72.4875,275.49,74,41,5.88,CL,1698450311
32,papatowai,-46.5619,169.4708,283.42,69,98,6.46,NZ,1698450312
33,goz beida,13.95,20.55,302.13,44,52,1.13,TD,1698450312
34,mainleus,50.1,11.3833,284.27,96,78,2.73,DE,1698450312
35,leava,-14.3,-178.1667,299.87,78,55,7.44,WF,1698450313
36,calvinia,-31.4707,19.776,284.43,81,13,2.91,ZA,1698450313
37,vorkuta,67.5,64.0,263.82,97,97,2.16,RU,1698450313
38,buka,40.8108,69.1986,289.42,52,100,0.98,UZ,1698450314
39,estevan,49.1334,-102.9842,266.34,86,40,5.14,CA,1698450101
40,lamu,-2.2717,40.902,297.27,87,89,3.34,KE,1698450314
41,blackmans bay,-43.0167,147.3167,287.44,53,89,2.68,AU,1698450314
42,port elizabeth,-33.918,25.5701,288.31,96,75,3.13,ZA,1698450315
43,lebu,-37.6167,-73.65,284.9,89,100,9.47,CL,1698450315
44,hell-ville,-13.4,48.2667,299.56,75,62,1.06,MG,1698450315
45,fort bragg,35.139,-79.006,296.38,70,0,0.0,US,1698450316
46,otofuke,42.9917,143.2003,283.68,91,100,1.3,JP,1698450316
47,bethel,41.3712,-73.414,293.35,72,0,1.54,US,1698450316
48,santa elena de uairen,4.6167,-61.1333,297.11,58,74,1.68,VE,1698450317
49,geraldton,-28.7667,114.6,289.38,63,0,3.09,AU,1698450317
50,ulsteinvik,62.3432,5.8487,275.79,81,4,2.68,NO,1698450317
51,gannan,47.9147,123.5031,276.98,42,93,1.96,CN,1698450318
52,steinkjer,64.193,11.3851,266.67,73,41,1.09,NO,1698450318
53,laguna,38.421,-121.4238,294.42,31,0,2.57,US,1698450318
54,jamestown,42.097,-79.2353,292.95,77,20,4.63,US,1698450039
55,avarua,-21.2078,-159.775,297.18,60,40,7.2,CK,1698450319
56,kosh-agach,50.0,88.6667,267.76,69,8,2.24,RU,1698450319
57,fauske,67.2588,15.3918,274.69,95,99,0.63,NO,1698450319
58,sinop,41.7711,34.8709,290.85,53,94,3.15,TR,1698450125
59,sitka,57.0531,-135.33,283.09,62,20,4.63,US,1698450084
60,san antonio de pale,-1.4014,5.6325,298.95,84,35,3.71,GQ,1698450320
61,wailua homesteads,22.0669,-159.378,301.39,66,0,4.12,US,1698450320
62,fort st. john,56.2499,-120.8529,271.09,64,20,1.54,CA,1698450321
63,rongelap,11.1635,166.8941,301.32,74,10,5.02,MH,1698450321
64,dayr mawas,27.6418,30.8466,298.19,43,22,4.23,EG,1698450321
65,lihue,21.9789,-159.3672,301.73,65,0,4.12,US,1698450321
66,cold lake,54.4502,-110.2017,269.12,68,75,6.17,CA,1698450309
67,rzeszow,50.0413,21.999,284.21,92,75,5.14,PL,1698450322
68,wudil,11.8107,8.8451,295.77,22,37,1.0,NG,1698450322
69,utrik,11.2278,169.8474,301.35,75,9,4.67,MH,1698450322
70,mungyeong,36.5946,128.1995,281.8,80,0,0.36,KR,1698450323
71,xilin hot,43.9667,116.0333,279.97,36,9,3.07,CN,1698450323
72,port mathurin,-19.6833,63.4167,297.62,75,90,3.6,MU,1698450323
73,miguel calmon,-11.4289,-40.595,299.38,59,47,5.45,BR,1698450323
74,suntar,62.1444,117.6319,273.81,84,100,2.81,RU,1698450324
75,puerto ayora,-0.7393,-90.3518,297.34,90,50,3.58,EC,1698450308
76,hermanus,-34.4187,19.2345,287.34,67,85,4.84,ZA,1698450324
77,invercargill,-46.4,168.35,283.16,90,83,5.81,NZ,1698450324
78,napa,38.4832,-122.3344,292.86,41,13,2.82,US,1698450259
79,hawaiian paradise park,19.5933,-154.9731,301.88,71,0,4.12,US,1698450325
80,dudinka,69.4058,86.1778,260.19,99,100,1.34,RU,1698450325
81,vorgashor,67.5833,63.95,264.11,96,98,2.53,RU,1698450326
82,selibaby,15.159,-12.1829,304.42,20,50,2.79,MR,1698450326
83,stanley,54.868,-1.6985,282.75,95,75,2.57,GB,1698450096
84,santo antonio do ica,-3.1022,-67.9397,297.34,95,100,0.99,BR,1698450327
85,edinburgh of the seven seas,-37.0676,-12.3116,287.23,96,100,15.32,SH,1698450327
86,alofi,-19.0595,-169.9187,299.09,65,21,8.23,NU,1698450327
87,tiksi,71.6872,128.8694,255.09,100,88,2.47,RU,1698450328
88,montmagny,48.9734,2.3469,285.17,89,75,7.72,FR,1698450328
89,kuqa,41.7278,82.9364,284.78,39,30,1.11,CN,1698450328
90,cabo san lucas,22.8909,-109.9124,300.76,61,0,7.2,MX,1698450328
91,dunedin,-45.8742,170.5036,285.26,57,90,5.81,NZ,1698450329
92,visby,57.6409,18.296,277.61,81,100,4.12,SE,1698450329
93,nova xavantina,-14.6667,-52.35,300.09,67,71,1.14,BR,1698450329
94,biltine,14.5333,20.9167,302.13,43,89,1.77,TD,1698450329
95,ciudad rodrigo,40.6,-6.5333,284.14,94,69,4.51,ES,1698450330
96,el rosario,24.2556,-107.1828,298.44,73,2,3.84,MX,1698450330
97,majuro,7.0897,171.3803,303.13,74,100,2.57,MH,1698450172
98,bredasdorp,-34.5322,20.0403,286.28,67,91,3.55,ZA,1698450330
99,tarawa,1.419,172.984,304.2,74,75,1.54,KI,1698450331
100,aleg,17.0481,-13.9209,305.75,17,12,4.07,MR,1698450331
101,woolgoolga,-30.1106,153.2007,292.08,59,81,6.23,AU,1698450331
102,crane,31.3974,-102.3501,292.91,77,79,7.94,US,1698450332
103,colonia,50.9333,6.95,284.75,90,75,1.54,DE,1698450256
104,yellowknife,62.456,-114.3525,268.94,86,100,2.06,CA,1698450332
105,tura,25.5198,90.2201,291.14,84,0,1.7,IN,1698450332
106,harper,4.375,-7.7169,298.53,89,3,2.59,LR,1698450332
107,codrington,-38.2667,141.9667,292.43,30,100,11.16,AU,1698450333
108,saldanha,-33.0117,17.9442,285.18,67,0,9.66,ZA,1698450333
109,vilhena,-12.7406,-60.1458,298.27,88,0,2.06,BR,1698450333
110,bac lieu,9.285,105.7244,300.43,78,21,1.73,VN,1698450334
111,aljezur,37.3191,-8.8033,290.53,86,58,2.85,PT,1698450334
112,victorica,-36.2151,-65.4359,292.33,44,76,3.3,AR,1698450334
113,newport,51.5877,-2.9984,284.45,91,100,1.24,GB,1698450215
114,puerto baquerizo moreno,-0.9,-89.6,296.62,79,86,5.07,EC,1698450146
115,bilibino,68.0546,166.4372,256.37,94,46,1.3,RU,1698450335
116,thompson,55.7435,-97.8558,270.24,86,75,2.57,CA,1698450336
117,igarka,67.4667,86.5833,262.09,89,100,4.5,RU,1698450336
118,talnakh,69.4865,88.3972,257.71,91,97,0.94,RU,1698450336
119,san antonio,29.4241,-98.4936,300.66,83,75,2.57,US,1698450079
120,la passe,45.5549,-0.8967,287.03,77,75,9.16,FR,1698450337
121,brak,27.5496,14.2714,297.86,18,99,3.44,LY,1698450337
122,muisne,0.6,-80.0333,298.43,82,87,4.26,EC,1698450337
123,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,75,2.0,RU,1698450337
124,hastings,50.8552,0.5729,286.01,90,96,3.14,GB,1698450338
125,akureyri,65.6835,-18.0878,272.11,93,75,0.51,IS,1698450338
126,kichmengskiy gorodok,59.9816,45.7854,269.23,84,100,1.34,RU,1698450338
127,badiyah,22.45,58.8,296.81,69,90,1.53,OM,1698450338
128,ganshui,28.7422,106.7111,288.77,92,98,0.14,CN,1698450339
129,tralee,52.2704,-9.7026,282.16,95,79,2.74,IE,1698450339
130,olonkinbyen,70.9221,-8.7187,271.97,66,14,0.35,SJ,1698450339
131,arraial do cabo,-22.9661,-42.0278,295.64,85,100,8.37,BR,1698450339
132,ketchikan,55.3422,-131.6461,281.41,57,0,3.09,US,1698450255
133,qamdo,31.1667,97.2333,270.95,66,100,0.67,CN,1698450340
134,afaahiti,-17.75,-149.2833,298.08,94,100,6.08,PF,1698450340
135,la paz,-16.5,-68.15,290.14,31,75,2.06,BO,1698450340
136,tolanaro,-25.0319,46.9987,294.19,83,20,5.14,MG,1698450340
137,malmberget,67.1753,20.6549,267.46,100,75,1.54,SE,1698450341
138,flin flon,54.7682,-101.865,271.06,80,75,5.14,CA,1698450341
139,sinabang,2.4803,96.3801,298.93,85,95,1.27,ID,1698450341
140,almeirim,-1.5233,-52.5817,301.77,44,9,1.87,BR,1698450103
141,anadyr,64.75,177.4833,274.43,86,75,8.0,RU,1698450341
142,fada,9.5667,8.3,293.87,89,2,0.33,NG,1698450342
143,novo aripuana,-5.1206,-60.3797,302.91,47,100,0.55,BR,1698450342
144,redencao,-4.2258,-38.7306,297.32,88,15,1.32,BR,1698450342
145,corner brook,48.9667,-57.9484,278.24,96,100,1.83,CA,1698450342
146,jinchang,38.4953,102.1739,282.94,26,0,1.56,CN,1698450342
147,enewetak,11.3474,162.3373,301.89,68,54,5.46,MH,1698450343
148,castillos,-34.1667,-53.8333,287.34,90,34,3.76,UY,1698450343
149,noshiro,40.2039,140.0242,282.61,76,100,0.87,JP,1698450344
150,georgetown,5.4112,100.3354,300.11,92,20,1.54,MY,1698450344
151,zakamensk,50.3741,103.2863,275.53,70,90,1.63,RU,1698450344
152,axim,4.8699,-2.2405,298.36,89,13,2.16,GH,1698450345
153,great torrington,50.9531,-4.144,284.29,95,100,4.2,GB,1698450345
154,morondava,-20.2833,44.2833,295.27,79,0,1.94,MG,1698450345
155,constantia,44.1833,28.65,294.65,49,100,8.79,RO,1698450261
156,port alfred,-33.5906,26.891,287.69,96,100,6.28,ZA,1698450345
157,vallenar,-28.5708,-70.7581,285.7,60,0,1.36,CL,1698450345
158,alice springs,-23.7,133.8833,295.9,9,54,6.69,AU,1698450346
159,benguela,-12.5763,13.4055,297.9,80,89,1.31,AO,1698450346
160,kodiak,57.79,-152.4072,280.88,81,100,4.63,US,1698450346
161,hobyo,5.3505,48.5268,300.78,77,70,3.82,SO,1698450346
162,silifke,36.3778,33.9344,296.5,47,0,2.07,TR,1698450347
163,khandyga,62.6667,135.6,260.19,96,95,1.15,RU,1698450347
164,matanzas,23.0411,-81.5775,299.57,73,75,5.14,CU,1698450347
165,thanh hoa,19.8,105.7667,297.94,88,78,1.56,VN,1698450348
166,san andres,12.5847,-81.7006,302.16,79,20,2.06,CO,1698450348
167,taoudenni,22.6783,-3.9836,304.27,17,0,4.34,ML,1698450348
168,ghanzi,-21.5667,21.7833,295.96,45,84,3.13,BW,1698450348
169,carutapera,-1.195,-46.02,299.44,78,13,3.03,BR,1698450348
170,slave lake,55.2834,-114.769,270.14,80,100,3.09,CA,1698450283
171,kapa'a,22.0752,-159.319,302.14,65,0,4.12,US,1698450349
172,nouadhibou,20.931,-17.0347,294.14,78,7,6.17,MR,1698450349
173,darwin,-12.4611,130.8418,304.79,62,20,3.6,AU,1698450067
174,moanda,-1.5575,13.2178,292.24,99,89,0.08,GA,1698450349
175,ujae,8.9322,165.7642,300.75,76,80,3.9,MH,1698450350
176,tsiombe,-25.3,45.4833,294.0,81,8,5.8,MG,1698450350
177,peace river,56.2501,-117.286,272.32,64,75,4.12,CA,1698450350
178,san miguel totoltepec,19.3301,-99.5797,294.83,59,40,5.14,MX,1698450351
179,whitehorse,60.7161,-135.0538,270.58,80,20,3.09,CA,1698450351
180,tayu,-6.5397,111.0518,301.39,63,17,3.3,ID,1698450351
181,ilulissat,69.2167,-51.1,269.16,74,100,4.12,GL,1698450351
182,ribeira grande,38.5167,-28.7,293.02,80,90,7.15,PT,1698450352
183,paranaiba,-19.6772,-51.1908,299.68,69,96,0.52,BR,1698450352
184,udachny,66.4167,112.4,266.18,85,82,7.4,RU,1698450352
185,daru,-9.0763,143.2092,298.63,88,98,4.05,PG,1698450352
186,toliara,-23.35,43.6667,295.86,60,2,4.76,MG,1698450353
187,mount pearl,47.5166,-52.7813,278.74,85,75,2.57,CA,1698450353
188,college,64.8569,-147.8028,273.59,75,40,0.0,US,1698450353
189,badger,64.8,-147.5333,273.54,83,40,0.0,US,1698450354
190,susuman,62.7833,148.1667,258.99,93,100,0.4,RU,1698450354
191,atafu village,-8.5421,-172.5159,301.87,75,67,2.73,TK,1698450354
192,deoband,29.7,77.6833,291.08,50,78,1.37,IN,1698450354
193,paracuru,-3.41,-39.0306,300.43,82,1,5.15,BR,1698450335
194,itambe,-15.245,-40.6244,295.88,91,98,2.16,BR,1698450355
195,qaqortoq,60.7167,-46.0333,273.8,60,100,1.22,GL,1698450355
196,kerikeri,-35.2268,173.9474,290.88,61,100,0.45,NZ,1698450355
197,kazanskoye,55.6448,69.235,268.31,82,20,2.71,RU,1698450356
198,usinsk,65.9939,57.5281,257.08,98,22,0.89,RU,1698450356
199,flieden,50.4239,9.5666,283.22,98,78,3.6,DE,1698450356
200,newman,37.3138,-121.0208,294.28,34,70,0.89,US,1698450356
201,nizamabad,18.6667,78.1167,290.68,64,15,1.07,IN,1698450356
202,coahuayana de hidalgo,18.7,-103.6583,299.71,83,95,1.54,MX,1698450357
203,prieska,-29.6641,22.7474,291.22,44,100,7.51,ZA,1698450357
204,punta arenas,-53.15,-70.9167,278.21,48,20,12.35,CL,1698450080
205,praia da vitoria,38.7333,-27.0667,292.46,72,20,7.03,PT,1698450357
206,gundlupet,11.8,76.6833,292.63,89,47,1.21,IN,1698450357
207,la gi,10.6667,107.7833,299.32,84,30,1.61,VN,1698450358
208,lib,8.3122,167.3766,301.14,75,29,4.53,MH,1698450358
209,portland,45.5234,-122.6762,285.89,59,40,4.02,US,1698449550
210,egilsstadir,65.2653,-14.3948,274.1,100,75,4.12,IS,1698450358
211,kurchatov,51.6601,35.6521,282.27,91,100,4.33,RU,1698450359
212,motygino,58.1831,94.7592,270.81,56,100,6.71,RU,1698450359
213,nemuro,43.3236,145.575,284.66,80,95,3.76,JP,1698450359
214,san ignacio,17.1561,-89.0714,303.23,70,40,3.09,BZ,1698450359
215,vila velha,-20.3297,-40.2925,297.12,94,100,2.06,BR,1698450359
216,al ghayzah,16.2079,52.176,299.14,79,94,2.18,YE,1698450360
217,jibia,13.0978,7.2225,298.48,17,37,1.23,NG,1698450360
218,klaksvik,62.2266,-6.589,280.66,72,92,11.03,FO,1698450360
219,micheweni,-4.9667,39.8333,298.55,87,97,2.78,TZ,1698450360
220,koudougou,12.25,-2.3667,302.1,35,56,2.62,BF,1698450361
221,kiunga,-6.1219,141.2906,299.12,85,92,0.9,PG,1698450361
222,juchipila,21.4167,-103.1167,300.08,48,99,0.37,MX,1698450362
223,nova sintra,14.8667,-24.7167,297.75,78,83,8.1,CV,1698450363
224,hirara,24.8,125.2833,298.07,60,75,5.66,JP,1698450363
225,verkhovazh'ye,60.7472,42.0465,269.9,77,100,3.48,RU,1698450363
226,kamloops,50.6665,-120.3192,279.7,26,20,3.6,CA,1698450363
227,tual,-5.6667,132.75,299.7,75,66,4.87,ID,1698450364
228,howrah,22.5892,88.3103,297.15,88,20,0.0,IN,1698450364
229,lanciano,42.2167,14.3882,293.12,54,98,3.08,IT,1698450364
230,las heras,-46.5419,-68.9359,282.49,36,24,15.66,AR,1698450365
231,tuljapur,18.0,76.0833,292.22,52,16,3.66,IN,1698450365
232,vadso,70.0744,29.7487,271.24,74,100,2.06,NO,1698450365
233,colby,39.3958,-101.0524,277.21,44,0,4.12,US,1698450253
234,sao joao da barra,-21.6403,-41.0511,297.2,91,100,5.9,BR,1698450100
235,thohoyandou,-22.9456,30.485,294.52,43,1,1.51,ZA,1698450366
236,iskateley,67.6803,53.1512,258.72,96,6,2.24,RU,1698450366
237,pisco,-13.7,-76.2167,293.18,77,75,6.69,PE,1698450367
238,chonchi,-42.6128,-73.8092,282.71,85,36,3.47,CL,1698450367
239,tofol,5.3248,163.0078,304.03,70,75,1.54,FM,1698450367
240,charlottetown,46.2352,-63.1267,287.44,91,100,5.66,CA,1698450298
241,saint-joseph,-21.3667,55.6167,296.36,82,81,0.87,RE,1698450368
242,ulanhot,46.0833,122.0833,278.32,37,66,2.0,CN,1698450368
243,anloga,5.7947,0.8973,299.71,83,0,3.18,GH,1698450368
244,saint-francois,46.4154,3.9054,284.07,73,75,3.6,FR,1698450368
245,matoury,4.8483,-52.3317,301.13,83,0,1.54,GF,1698450369
246,mount gambier,-37.8333,140.7667,293.6,33,84,7.08,AU,1698450336
247,palikir - national government center,6.9248,158.1611,302.56,74,100,2.06,FM,1698450369
248,colchani,-20.3,-66.9333,282.48,22,38,9.78,BO,1698450369
249,ta`u,-14.2336,-169.5144,299.45,84,95,9.89,AS,1698450369
250,porto novo,6.4965,2.6036,301.05,88,0,2.24,BJ,1698450370
251,port-gentil,-0.7193,8.7815,299.05,86,40,3.75,GA,1698450370
252,rouissat,31.9243,5.3502,294.19,32,0,0.0,DZ,1698450371
253,livada,47.8667,23.1333,285.79,81,80,7.09,RO,1698450371
254,holmsund,63.706,20.3641,272.12,92,100,0.89,SE,1698450371
255,bamboo flat,11.7,92.7167,299.2,89,40,1.03,IN,1698450372
256,marica,-22.9194,-42.8186,296.12,89,100,6.42,BR,1698450372
257,tamanrasset,22.785,5.5228,295.4,21,7,2.23,DZ,1698450372
258,beira,-19.8436,34.8389,293.2,100,0,2.24,MZ,1698450372
259,cedar city,37.6775,-113.0619,288.69,37,0,8.23,US,1698450087
260,mogadishu,2.0371,45.3438,299.34,83,44,3.77,SO,1698450373
261,ashdod,31.8167,34.65,298.31,80,98,2.23,IL,1698450373
262,gamba,-2.65,10.0,297.92,89,100,2.31,GA,1698450373
263,kyzylorda,44.8528,65.5092,279.16,61,40,4.0,KZ,1698450373
264,umba,66.6871,34.3429,272.03,73,100,1.23,RU,1698450374
265,xinyuan,37.3,99.0,268.81,45,0,2.12,CN,1698450374
266,karratha,-20.7377,116.8463,304.96,35,21,0.73,AU,1698450374
267,hasaki,35.7333,140.8333,292.2,62,52,3.75,JP,1698450374
268,mancio lima,-7.6142,-72.8958,298.19,94,100,1.54,BR,1698450375
269,glace bay,46.1969,-59.957,284.7,95,100,4.12,CA,1698450375
270,margaret river,-33.95,115.0667,286.1,57,9,1.43,AU,1698450221
271,fayetteville,35.0527,-78.8784,296.75,70,75,1.54,US,1698450368
272,guerrero negro,27.9769,-114.0611,293.08,69,10,7.93,MX,1698450375
273,san fernando de apure,7.8878,-67.4724,299.04,86,91,1.3,VE,1698450137
274,zhangye,38.9342,100.4517,281.39,25,3,1.81,CN,1698450376
275,roosevelt,33.9668,-103.4505,289.27,39,0,3.79,US,1698450376
276,baidoa,3.1138,43.6498,295.86,90,78,3.8,SO,1698450376
277,panaba,21.2833,-88.2667,299.58,61,14,6.39,MX,1698450377
278,uturoa,-16.7333,-151.4333,297.96,79,100,6.51,PF,1698450377
279,togur,58.3631,82.8265,269.34,78,100,8.49,RU,1698450377
280,molde,62.7375,7.1591,273.03,74,0,4.12,NO,1698450377
281,mount isa,-20.7333,139.5,302.02,10,63,5.14,AU,1698450378
282,quesnel,52.9999,-122.5029,276.43,35,0,1.03,CA,1698450378
283,patan,27.6667,85.3333,287.04,94,20,1.54,NP,1698450378
284,menongue,-14.6585,17.691,292.45,71,88,2.07,AO,1698450379
